date,region,product,segment,revenue,units_sold
2024-01-15,North,Pro Plan,Enterprise,12500.00,5
2024-01-22,South,Starter Plan,SMB,1800.00,12
2024-02-03,East,Pro Plan,Enterprise,15000.00,6
2024-02-10,West,Team Plan,SMB,4500.00,15
2024-02-18,North,Starter Plan,SMB,2100.00,14
2024-02-27,South,Pro Plan,Enterprise,17500.00,7
2024-03-05,East,Team Plan,SMB,5400.00,18
2024-03-12,West,Pro Plan,Enterprise,22500.00,9
2024-03-19,North,Team Plan,SMB,3900.00,13
2024-03-28,South,Starter Plan,SMB,1500.00,10
2024-04-04,East,Pro Plan,Enterprise,20000.00,8
2024-04-11,West,Starter Plan,SMB,2400.00,16
2024-04-18,North,Pro Plan,Enterprise,25000.00,10
2024-04-25,South,Team Plan,SMB,6000.00,20
2024-05-02,East,Starter Plan,SMB,1950.00,13
2024-05-09,West,Pro Plan,Enterprise,17500.00,7
2024-05-16,North,Team Plan,SMB,4800.00,16
2024-05-23,South,Pro Plan,Enterprise,30000.00,12
2024-06-06,East,Team Plan,SMB,7200.00,24
2024-06-13,West,Starter Plan,SMB,2700.00,18
2024-06-20,North,Pro Plan,Enterprise,27500.00,11
2024-06-27,South,Team Plan,SMB,5100.00,17
2024-07-04,East,Pro Plan,Enterprise,22500.00,9
2024-07-11,West,Team Plan,SMB,6300.00,21
2024-07-18,North,Starter Plan,SMB,2250.00,15
2024-07-25,South,Pro Plan,Enterprise,32500.00,13
2024-08-01,East,Team Plan,SMB,8100.00,27
2024-08-08,West,Pro Plan,Enterprise,25000.00,10
2024-08-15,North,Team Plan,SMB,5700.00,19
2024-08-22,South,Starter Plan,SMB,1650.00,11
